threshold,fpr,tpr
0.0608412,0.337114,0.74092
0.0608389,0.337744,0.74092
0.0608267,0.337744,0.743341
0.0608035,0.339004,0.743341
0.060759,0.339635,0.743341
0.0607453,0.340265,0.743341
0.0607279,0.340895,0.743341
0.0606706,0.340895,0.745763
0.0606394,0.341525,0.745763
0.060624,0.342155,0.745763
0.060549,0.342785,0.745763
0.0605001,0.343415,0.745763
0.0604398,0.344675,0.745763
0.0604209,0.345306,0.745763
0.0602616,0.345936,0.745763
0.060221,0.346566,0.745763
0.0601699,0.347196,0.745763
0.0601437,0.347196,0.748184
0.0601145,0.347826,0.748184
0.0600172,0.347826,0.750605
0.0600109,0.348456,0.750605
0.0599411,0.349086,0.750605
0.0597462,0.349716,0.750605
0.0595917,0.349716,0.753027
0.0595832,0.350347,0.753027
0.0595379,0.350977,0.753027
0.0595335,0.350977,0.755448
0.0595097,0.351607,0.755448
0.0594492,0.351607,0.757869
0.0594198,0.351607,0.760291
0.0593773,0.352237,0.760291
0.0592027,0.352867,0.760291
0.0591362,0.353497,0.760291
0.059135,0.353497,0.762712
0.059113,0.353497,0.765133
0.0590661,0.354127,0.765133
0.0589614,0.354757,0.765133
0.0589533,0.355388,0.765133
0.0588441,0.356018,0.765133
0.0588203,0.356018,0.767554
0.0586928,0.356648,0.767554
0.0586734,0.357908,0.767554
0.0586112,0.358538,0.767554
0.0585783,0.359168,0.767554
0.0584748,0.359798,0.767554
0.0584197,0.360428,0.767554
0.058389,0.360428,0.769976
0.0583337,0.360428,0.772397
0.0582977,0.361059,0.772397
0.058254,0.361059,0.774818
0.0582212,0.361689,0.774818
0.0582178,0.362319,0.774818
0.0582039,0.362949,0.774818
0.0581543,0.363579,0.774818
0.0581179,0.364839,0.774818
0.058108,0.365469,0.774818
